timestamp_seconds,vehicle_count,cars,motorcycles,buses,trucks
0.167,2,2,0,0,0
0.334,8,7,0,0,1
0.501,6,4,0,0,2
0.667,10,6,0,0,4
0.834,1,1,0,0,0
1.001,0,0,0,0,0
1.168,10,10,0,0,0
1.335,10,10,0,0,0
1.502,10,9,0,0,1
1.668,12,12,0,0,0
1.835,11,10,0,0,1
2.002,14,11,0,0,3
2.169,13,11,0,0,2
2.336,10,7,0,0,3
2.502,1,1,0,0,0
2.669,8,7,0,0,1
2.836,13,13,0,0,0
3.003,13,10,0,0,3
3.17,12,8,0,0,4
3.337,0,0,0,0,0
3.504,11,10,0,0,1
3.67,13,13,0,0,0
3.837,13,10,0,0,3
4.004,14,12,0,0,2
4.171,17,13,0,0,4
4.338,13,11,0,0,2
4.505,10,10,0,0,0
4.671,12,11,0,0,1
4.838,12,11,0,0,1
5.005,12,11,0,0,1
5.172,12,11,0,0,1
5.339,10,9,0,0,1
5.506,11,10,0,0,1
5.672,13,11,0,0,2
5.839,12,10,0,0,2
6.006,12,10,0,0,2
6.173,1,1,0,0,0
6.34,1,1,0,0,0
6.506,1,1,0,0,0
6.673,1,1,0,0,0
6.84,1,1,0,0,0
7.007,1,1,0,0,0
7.174,10,10,0,0,0
7.341,1,1,0,0,0
7.508,9,8,0,0,1
7.674,9,8,0,0,1
7.841,1,1,0,0,0
8.008,1,1,0,0,0
8.175,2,2,0,0,0
8.342,1,1,0,0,0
8.508,2,1,0,0,1
8.675,2,1,0,0,1
8.842,2,1,0,0,1
9.009,1,0,0,0,1
9.176,1,0,0,0,1
9.343,1,0,0,0,1
9.51,1,0,0,0,1
9.676,1,0,0,0,1
9.843,1,0,0,0,1
10.01,1,0,0,0,1
10.177,1,0,0,0,1
10.344,1,0,0,0,1
10.511,2,1,0,0,1
10.677,1,0,0,0,1
10.844,2,1,0,0,1
11.011,2,1,0,0,1
11.178,1,1,0,0,0
11.345,1,1,0,0,0
11.511,1,1,0,0,0
11.678,1,0,0,0,1
11.845,0,0,0,0,0
12.012,0,0,0,0,0
12.179,12,9,0,0,3
12.346,11,9,0,0,2
12.513,9,7,0,0,2
12.679,11,10,0,0,1
12.846,11,9,0,0,2
13.013,10,9,0,0,1
13.18,12,11,0,0,1
13.347,10,10,0,0,0
13.514,13,11,0,0,2
13.68,10,10,0,0,0
13.847,8,8,0,0,0
14.014,9,9,0,0,0
14.181,1,1,0,0,0
14.348,8,8,0,0,0
14.514,9,8,0,0,1
14.681,9,8,0,0,1
14.848,10,9,0,0,1
15.015,10,9,0,0,1
15.182,10,9,0,0,1
15.349,8,7,0,0,1
15.515,8,6,0,0,2
15.682,7,6,0,0,1
15.849,8,8,0,0,0
16.016,9,8,0,0,1
16.183,5,3,0,0,2
16.35,9,9,0,0,0
16.517,7,7,0,0,0
16.683,7,7,0,0,0
16.85,5,5,0,0,0
17.017,7,7,0,0,0
17.184,6,6,0,0,0
17.351,6,6,0,0,0
17.518,7,6,0,0,1
17.684,11,11,0,0,0
17.851,10,10,0,0,0
18.018,1,1,0,0,0
18.185,1,1,0,0,0
18.352,1,1,0,0,0
18.518,1,1,0,0,0
18.685,1,1,0,0,0
18.852,1,1,0,0,0
19.019,1,1,0,0,0
19.186,1,1,0,0,0
19.353,1,1,0,0,0
19.52,1,1,0,0,0
19.686,1,1,0,0,0
19.853,2,1,0,0,1
20.02,2,2,0,0,0
20.187,3,3,0,0,0
20.354,9,8,0,0,1
20.521,16,12,0,0,4
20.687,12,10,0,0,2
20.854,9,8,0,0,1
21.021,0,0,0,0,0
21.188,0,0,0,0,0
21.355,0,0,0,0,0
21.521,8,7,0,0,1
21.688,9,8,0,0,1
21.855,10,9,0,0,1
22.022,9,9,0,0,0
22.189,9,9,0,0,0
22.356,8,7,0,0,1
22.523,9,8,0,0,1
22.689,10,8,0,0,2
22.856,8,6,0,0,2
23.023,8,7,0,0,1
23.19,7,7,0,0,0
23.357,8,8,0,0,0
23.524,8,7,0,0,1
23.69,7,7,0,0,0
23.857,6,6,0,0,0
24.024,9,7,0,0,2
24.191,8,6,0,0,2
24.358,0,0,0,0,0
24.524,0,0,0,0,0
24.691,0,0,0,0,0
24.858,0,0,0,0,0
25.025,0,0,0,0,0
25.192,0,0,0,0,0
25.359,0,0,0,0,0
25.526,0,0,0,0,0
25.692,1,1,0,0,0
25.859,1,1,0,0,0
26.026,1,0,0,0,1
26.193,1,1,0,0,0
26.36,1,1,0,0,0
26.527,1,1,0,0,0
26.693,11,8,0,0,3
26.86,1,1,0,0,0
27.027,10,7,0,0,3
27.194,0,0,0,0,0
27.361,0,0,0,0,0
27.527,0,0,0,0,0
27.694,0,0,0,0,0
27.861,0,0,0,0,0
28.028,0,0,0,0,0
28.195,0,0,0,0,0
28.362,0,0,0,0,0
28.529,0,0,0,0,0
28.695,0,0,0,0,0
28.862,0,0,0,0,0
29.029,8,8,0,0,0
29.196,0,0,0,0,0
29.363,1,1,0,0,0
29.53,1,1,0,0,0
29.696,1,1,0,0,0
29.863,1,1,0,0,0
30.03,0,0,0,0,0
30.197,1,1,0,0,0
30.364,2,1,0,0,1
30.53,2,1,0,0,1
30.697,2,1,0,0,1
30.864,2,1,0,0,1
31.031,2,0,0,0,2
31.198,1,0,0,0,1
31.365,1,0,0,0,1
31.532,1,0,0,0,1
31.698,1,0,0,0,1
31.865,14,10,0,0,4
32.032,16,11,0,0,5
32.199,1,0,0,0,1
32.366,1,0,0,0,1
32.532,1,0,0,0,1
32.699,1,0,0,0,1
32.866,1,0,0,0,1
33.033,1,0,0,0,1
33.2,1,0,0,0,1
33.367,1,0,0,0,1
33.534,1,0,0,0,1
33.7,1,1,0,0,0
33.867,9,7,0,0,2
34.034,0,0,0,0,0
34.201,0,0,0,0,0
34.368,0,0,0,0,0
34.535,0,0,0,0,0
34.701,0,0,0,0,0
34.868,1,1,0,0,0
35.035,2,2,0,0,0
35.202,2,2,0,0,0
35.369,2,2,0,0,0
35.535,2,2,0,0,0
35.702,2,2,0,0,0
35.869,2,2,0,0,0
36.036,2,2,0,0,0
36.203,1,1,0,0,0
36.37,12,10,0,0,2
36.537,10,7,0,0,3
36.703,11,9,0,0,2
36.87,3,3,0,0,0
37.037,4,4,0,0,0
37.204,1,1,0,0,0
37.371,2,2,0,0,0
37.538,3,3,0,0,0
37.704,6,4,0,0,2
37.871,5,5,0,0,0
38.038,0,0,0,0,0
38.205,5,4,0,0,1
38.372,5,4,0,0,1
38.538,0,0,0,0,0
38.705,0,0,0,0,0
38.872,0,0,0,0,0
39.039,0,0,0,0,0
39.206,7,7,0,0,0
39.373,7,7,0,0,0
39.54,5,4,0,0,1
39.706,6,6,0,0,0
39.873,0,0,0,0,0
40.04,0,0,0,0,0
40.207,0,0,0,0,0
40.374,0,0,0,0,0
40.541,0,0,0,0,0
40.707,0,0,0,0,0
40.874,1,0,0,0,1
41.041,1,0,0,0,1
41.208,1,0,0,0,1
41.375,1,0,0,0,1
41.541,1,0,0,0,1
41.708,1,0,0,0,1
41.875,1,0,0,0,1
42.042,1,0,0,0,1
42.209,1,0,0,0,1
42.376,1,0,0,0,1
42.543,1,0,0,0,1
42.709,1,0,0,0,1
42.876,1,0,0,0,1
43.043,1,0,0,0,1
43.21,1,0,0,0,1
43.377,1,0,0,0,1
43.544,1,0,0,0,1
43.71,1,0,0,0,1
43.877,2,1,0,0,1
44.044,2,1,0,0,1
44.211,1,0,0,0,1
44.378,10,9,0,0,1
44.544,12,10,0,0,2
44.711,11,11,0,0,0
44.878,10,10,0,0,0
45.045,11,10,0,0,1
45.212,11,11,0,0,0
45.379,10,10,0,0,0
45.546,10,10,0,0,0
45.712,11,10,0,0,1
45.879,16,12,0,0,4
46.046,13,11,0,0,2
46.213,13,11,0,0,2
46.38,12,11,0,0,1
46.547,16,14,0,0,2
46.713,17,16,0,0,1
46.88,14,14,0,0,0
47.047,14,12,0,0,2
47.214,18,13,0,0,5
47.381,1,1,0,0,0
47.547,1,1,0,0,0
47.714,0,0,0,0,0
47.881,0,0,0,0,0
48.048,1,0,0,0,1
48.215,1,0,0,0,1
48.382,12,10,0,0,2
48.549,11,11,0,0,0
48.715,12,10,0,0,2
48.882,11,8,0,0,3
49.049,11,8,0,0,3
49.216,10,9,0,0,1
49.383,12,9,0,0,3
49.55,12,8,0,0,4
49.716,12,11,0,0,1
49.883,13,12,0,0,1
50.05,11,10,0,0,1
50.217,10,9,0,0,1
50.384,9,8,0,0,1
50.55,12,8,0,0,4
50.717,13,9,0,0,4
50.884,8,7,0,0,1
51.051,10,10,0,0,0
51.218,1,1,0,0,0
51.385,15,12,0,0,3
51.552,11,9,0,0,2
51.718,1,1,0,0,0
51.885,1,1,0,0,0
52.052,1,1,0,0,0
52.219,1,1,0,0,0
52.386,0,0,0,0,0
52.553,0,0,0,0,0
52.719,0,0,0,0,0
52.886,0,0,0,0,0
53.053,0,0,0,0,0
53.22,0,0,0,0,0
53.387,0,0,0,0,0
53.553,0,0,0,0,0
53.72,0,0,0,0,0
53.887,0,0,0,0,0
54.054,0,0,0,0,0
54.221,0,0,0,0,0
54.388,0,0,0,0,0
54.555,1,1,0,0,0
54.721,2,2,0,0,0
54.888,1,1,0,0,0
55.055,8,8,0,0,0
55.222,7,7,0,0,0
55.389,0,0,0,0,0
55.556,1,1,0,0,0
55.722,0,0,0,0,0
55.889,0,0,0,0,0
56.056,0,0,0,0,0
56.223,2,2,0,0,0
56.39,0,0,0,0,0
56.556,0,0,0,0,0
56.723,0,0,0,0,0
56.89,1,1,0,0,0
57.057,0,0,0,0,0
57.224,0,0,0,0,0
57.391,0,0,0,0,0
57.558,0,0,0,0,0
57.724,0,0,0,0,0
57.891,0,0,0,0,0
58.058,9,8,0,0,1
58.225,13,11,0,0,2
58.392,14,11,0,0,3
58.559,12,11,0,0,1
58.725,1,1,0,0,0
58.892,1,1,0,0,0
59.059,13,12,0,0,1
59.226,17,15,0,0,2
59.393,19,15,0,0,4
59.559,14,12,0,0,2
59.726,16,12,0,0,4
59.893,14,12,0,0,2
60.06,11,10,0,0,1
60.227,13,12,0,0,1
60.394,13,12,0,0,1
60.56,14,13,0,0,1
60.727,16,14,0,0,2
60.894,12,12,0,0,0
61.061,11,11,0,0,0
61.228,1,1,0,0,0
61.395,14,14,0,0,0
61.562,13,13,0,0,0
61.728,14,14,0,0,0
61.895,12,12,0,0,0
62.062,11,11,0,0,0
62.229,15,15,0,0,0
62.396,14,10,0,0,4
62.562,13,10,0,0,3
62.729,13,10,0,0,3
62.896,11,11,0,0,0
63.063,14,12,0,0,2
63.23,13,10,0,0,3
63.397,19,16,0,0,3
63.563,13,12,0,0,1
63.73,13,10,0,0,3
