track_id,vehicle_type,observation_count,total_pixel_distance,average_pixel_speed,median_pixel_speed,maximum_pixel_speed,first_timestamp,last_timestamp,movement_status
1,bus,26,17.73935433230954,4.091814147489783,3.012048192771081,20.958083832335326,0.167,4.333,SLOW
2,bus,26,17.435052197033702,4.02426750676145,4.234172342434416,10.79506369899399,0.167,4.333,SLOW
3,car,52,139.1648789459236,15.373222905512877,10.13148044256343,54.635591589505026,0.167,10.333,MOVING
4,car,62,371.01606350813563,35.89192838856508,21.561563229689916,368.3121529580119,0.167,10.333,MOVING
5,car,62,208.22740201308443,20.152129249494884,9.94811939075901,105.47254463358416,0.167,10.333,SLOW
6,bus,36,200.86171451953075,20.358221548460605,5.988023952095815,86.93294993772156,0.167,10.333,SLOW
7,car,26,22.113221136396305,5.106267824777569,5.988023952095815,10.860094203204786,0.167,4.333,SLOW
8,car,62,338.4321204812446,32.74916111131977,22.17103244896208,135.49351495790148,0.167,10.333,MOVING
9,car,29,37.72132385486363,5.864499445072325,4.234172342434416,25.55807642842937,0.167,6.0,SLOW
10,car,62,207.25391092315638,20.05695338644246,18.249451244634823,68.40514765746033,0.167,10.333,MOVING
11,car,53,269.52666194524494,27.54080115857378,15.35505707504136,89.72050337587852,0.167,10.333,MOVING
12,car,26,21.479319222941484,4.95536039829105,4.234172342434421,13.38962860778317,0.167,4.333,SLOW
13,car,26,21.21512070749146,4.896024185491069,4.234172342434416,12.34462762160976,0.167,4.333,SLOW
14,car,37,244.76133784626626,27.78883253451116,6.694814303891587,128.56832666816715,0.167,10.333,SLOW
15,car,22,17.59561859344067,4.210735965142455,2.9940119760479074,18.32157388644042,0.167,4.333,SLOW
16,bus,62,307.4522071266058,29.74425957309078,19.20801181863071,305.8145447273396,0.167,10.333,MOVING
17,bus,16,21.979789301816727,6.906424958169913,5.141887895140206,24.138496252390894,0.5,4.333,SLOW
23,car,34,56.04608439350666,8.428094463284147,6.006060168818985,27.111931551309663,0.833,7.833,SLOW
35,car,10,5.239354332309538,3.146472356664403,4.246925873586325,6.73514451054152,2.333,3.833,SLOW
46,car,5,7.667543745546287,9.209146565949277,11.97604790419163,15.358492510821605,3.167,3.833,MOVING
48,car,7,1.5,1.2857245921238418,0.0,3.012048192771078,3.333,4.333,STOPPED
70,car,35,292.96254871063434,50.231613314048914,30.71698502164321,125.10528392680361,4.667,10.333,MOVING
71,car,7,23.10133379098497,19.795648052147197,21.59012739798798,36.76673378233035,4.667,5.667,MOVING
72,car,26,105.66004702979394,24.387256096931175,23.242995719335113,61.43198960683598,4.667,8.833,MOVING
73,bus,35,147.89732912948477,25.359378373910435,26.779257215566375,52.373819414778204,4.667,10.333,MOVING
74,car,8,33.45108535258133,25.108757051247025,27.717692899557235,42.55290539985602,4.667,5.833,MOVING
75,car,11,83.66748420567227,35.83970234504424,36.423727726336686,69.34255682663441,4.667,8.833,MOVING
76,car,3,3.2393543323095373,6.479220512614927,6.73514451054152,12.702517027303262,4.667,5.0,SLOW
77,car,24,104.45033637206316,24.9012332043426,29.260582223799254,45.79957646939632,4.667,8.667,MOVING
78,car,15,74.12748150939585,29.651400818321257,30.120481927710777,53.55851443113275,4.667,7.0,MOVING
79,car,19,65.91705441478739,20.81284454794746,19.286518787448298,37.514862533358325,4.667,7.667,MOVING
81,car,7,16.29924074867051,13.985030409009426,10.79506369899399,25.734951040112986,4.667,5.667,MOVING
83,car,31,144.79433036156541,26.496661879282584,25.75546487138514,60.25332873502434,4.667,9.833,MOVING
86,motorcycle,9,86.56425579728018,42.934703547922126,44.91017964071861,75.38729528152207,6.333,8.167,MOVING
87,car,17,63.15703581078358,22.291004993686574,24.138496252390894,37.03388286482932,5.0,7.667,MOVING
114,motorcycle,6,41.12254362133055,29.214921084061586,22.33422121923468,71.30841535218303,6.167,7.167,MOVING
120,car,15,43.58801529172688,17.424572657536643,15.358492510821605,34.136988775423326,6.333,8.667,MOVING
123,motorcycle,4,14.838159211612581,16.680728087024477,21.669465641254554,23.38398106558881,6.5,7.167,MOVING
139,car,1,0.0,0.0,0.0,0.0,7.333,7.333,INSUFFICIENT_DATA
147,car,5,99.75940998763481,119.66529266422347,149.6407065820337,161.10938699176268,7.833,8.5,MOVING
186,car,8,142.2300269640771,106.71927968990511,119.74451997174734,137.72455089820374,9.167,10.333,MOVING
187,car,7,66.16944636182184,48.83265822752429,54.635591589505026,70.89519455385418,9.167,10.333,MOVING
217,car,1,0.0,0.0,0.0,0.0,10.333,10.333,INSUFFICIENT_DATA
