timestamp_seconds,vehicle_count,vehicle_density_score,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_pixel_speed,median_pixel_speed,movement_congestion_score,vision_congestion_score,traffic_state
0.167,16,68.75,16,0,0,16,0.0,0.0,100.0,0.0,0.0,80.0,75.5,SEVERE
0.333,16,68.75,16,3,12,1,18.75,75.0,6.25,6.190097724491745,5.1418878951402025,27.5,44.0,MODERATE
0.5,17,75.0,17,2,13,2,11.76470588235294,76.47058823529412,11.76470588235294,5.289733103152821,4.234172342434417,32.352941176470594,49.411764705882355,MODERATE
0.667,17,75.0,17,2,15,0,11.76470588235294,88.23529411764706,0.0,5.855146727807347,5.988023952095807,26.47058823529412,45.88235294117647,MODERATE
0.833,18,81.25,18,0,14,4,0.0,77.77777777777779,22.22222222222222,3.633664096740106,3.635863798754663,41.11111111111112,57.16666666666667,HIGH
1.0,18,81.25,18,0,12,6,0.0,66.66666666666666,33.33333333333333,3.1991592601520047,3.61409215924116,46.66666666666666,60.49999999999999,HIGH
1.167,18,81.25,18,0,17,1,0.0,94.44444444444444,5.555555555555555,4.10127316192488,3.61409215924116,32.77777777777778,52.16666666666667,MODERATE
1.333,18,81.25,18,1,15,2,5.555555555555555,83.33333333333334,11.11111111111111,5.375237197937162,6.024096385542172,33.888888888888886,52.83333333333333,MODERATE
1.5,18,81.25,18,6,11,1,33.33333333333333,61.11111111111112,5.555555555555555,7.600558248058767,8.72519030650627,22.77777777777778,46.166666666666664,MODERATE
1.667,18,81.25,18,5,13,0,27.77777777777778,72.22222222222221,0.0,7.931516591546805,6.341419127993696,21.666666666666664,45.5,MODERATE
1.833,17,75.0,17,0,16,1,0.0,94.11764705882352,5.88235294117647,4.762057814012626,4.2596794047382405,32.94117647058823,49.76470588235294,MODERATE
2.0,18,81.25,18,1,14,3,5.555555555555555,77.77777777777779,16.666666666666664,4.881820866358974,3.61409215924116,36.66666666666666,54.49999999999999,MODERATE
2.167,18,81.25,18,0,13,5,0.0,72.22222222222221,27.77777777777778,2.934295795872833,2.994011976047908,43.888888888888886,58.83333333333333,HIGH
2.333,18,81.25,18,0,12,6,0.0,66.66666666666666,33.33333333333333,3.2281238060007187,3.012048192771078,46.66666666666666,60.49999999999999,HIGH
2.5,17,75.0,17,2,12,3,11.76470588235294,70.58823529411765,17.647058823529413,4.140835792651246,2.994011976047908,35.294117647058826,51.17647058823529,MODERATE
