track_id,vehicle_type,observation_count,calibration_status,total_distance_meters,average_speed_kmh,median_speed_kmh,maximum_speed_kmh,total_pixel_distance,average_pixel_speed,median_pixel_speed,maximum_pixel_speed,movement_status,first_timestamp,last_timestamp
1,bus,26,demo_calibration,1.47,1.27,0.24,5.46,18.35,4.4,3.01,17.96,STOPPED,0.167,4.333
2,bus,26,demo_calibration,1.06,0.92,1.62,1.69,18.39,4.41,6.02,8.52,STOPPED,0.167,4.333
3,car,52,demo_calibration,10.45,4.35,2.98,18.09,152.79,17.65,12.34,66.48,SLOW,0.167,10.333
4,car,62,demo_calibration,18.04,6.39,2.84,65.66,427.89,42.07,25.41,479.08,SLOW,0.167,10.333
5,car,62,demo_calibration,14.59,5.17,2.93,17.87,230.34,22.66,13.47,105.47,SLOW,0.167,10.333
6,bus,36,demo_calibration,7.7,3.73,0.95,16.97,172.85,23.24,6.02,98.76,STOPPED,0.167,10.333
7,car,26,demo_calibration,0.96,0.83,0.85,1.74,26.4,6.34,6.02,13.47,STOPPED,0.167,4.333
8,car,62,demo_calibration,18.34,6.5,2.04,20.03,395.59,38.91,26.78,119.76,SLOW,0.167,10.333
9,car,29,demo_calibration,2.23,1.56,1.25,7.71,36.61,6.06,6.01,30.12,STOPPED,0.167,6.0
10,car,62,demo_calibration,13.86,4.91,2.52,18.7,239.68,23.57,18.94,82.38,SLOW,0.167,10.333
11,car,53,demo_calibration,15.36,6.04,2.22,21.08,303.59,31.97,15.66,103.41,SLOW,0.167,10.333
12,car,26,demo_calibration,1.38,1.2,1.67,3.39,21.33,5.12,6.02,13.39,STOPPED,0.167,4.333
13,car,26,demo_calibration,2.53,2.19,1.61,6.4,35.87,8.61,6.69,24.1,STOPPED,0.167,4.333
14,car,37,demo_calibration,5.95,3.13,0.55,21.06,215.64,27.53,6.02,155.69,STOPPED,0.167,10.333
15,car,22,demo_calibration,0.99,0.89,0.68,2.74,18.63,4.74,3.1,12.42,STOPPED,0.167,4.333
16,bus,62,demo_calibration,14.36,5.09,2.55,15.49,296.93,29.2,16.12,98.76,SLOW,0.167,10.333
17,bus,16,demo_calibration,1.33,1.71,0.47,5.55,17.76,6.39,5.99,18.21,STOPPED,0.5,4.333
23,car,34,demo_calibration,4.03,2.4,1.93,11.26,56.8,8.72,6.02,36.05,STOPPED,0.833,7.833
35,car,10,demo_calibration,0.12,0.29,0.15,0.87,5.53,3.69,3.01,8.47,STOPPED,2.333,3.833
46,car,5,demo_calibration,0.88,4.75,4.78,7.07,8.18,12.27,12.2,17.96,SLOW,3.167,3.833
48,car,7,demo_calibration,0.02,0.08,0.07,0.17,1.5,1.5,1.5,3.01,STOPPED,3.333,4.333
70,car,35,demo_calibration,10.59,6.73,0.63,24.39,272.65,48.12,12.01,156.29,STOPPED,4.667,10.333
71,car,7,demo_calibration,0.23,0.84,0.94,1.56,16.0,16.0,17.96,30.12,STOPPED,4.667,5.667
72,car,26,demo_calibration,7.24,6.26,5.44,13.65,109.78,26.35,25.41,57.51,SLOW,4.667,8.833
73,bus,35,demo_calibration,11.47,7.29,6.19,17.78,166.15,29.33,27.69,59.33,SLOW,4.667,10.333
74,car,8,demo_calibration,1.68,5.2,5.1,8.07,33.86,29.04,32.02,44.51,SLOW,4.667,5.833
75,car,11,demo_calibration,0.45,0.43,0.3,1.88,31.0,8.19,5.99,35.93,STOPPED,4.667,8.833
76,car,3,demo_calibration,0.16,1.78,1.78,2.28,3.86,11.61,11.61,12.42,STOPPED,4.667,5.0
77,car,24,demo_calibration,8.03,7.4,8.45,22.65,108.76,27.09,26.78,66.48,SLOW,4.667,8.667
78,car,15,demo_calibration,3.13,4.83,4.98,8.93,73.86,31.66,32.52,53.56,SLOW,4.667,7.0
79,car,19,demo_calibration,4.13,4.96,4.25,10.21,62.08,20.69,18.09,40.72,SLOW,4.667,7.667
81,car,7,demo_calibration,2.43,8.76,9.13,15.94,25.57,25.6,27.42,44.78,SLOW,4.667,5.667
83,car,31,demo_calibration,10.63,7.25,6.96,14.16,152.9,28.92,29.25,54.96,SLOW,4.667,9.833
86,motorcycle,9,demo_calibration,5.22,10.15,11.52,14.56,94.11,50.12,54.41,72.8,SLOW,6.333,8.167
87,car,17,demo_calibration,4.96,6.69,6.75,13.24,61.57,23.09,23.95,37.03,SLOW,5.0,7.667
114,motorcycle,6,demo_calibration,1.67,5.15,3.91,10.32,46.19,39.96,33.87,77.27,SLOW,6.167,7.167
120,car,15,demo_calibration,3.33,5.13,5.49,9.73,46.7,20.0,19.2,36.55,SLOW,6.333,8.667
123,motorcycle,4,demo_calibration,0.53,2.61,2.79,3.58,15.3,22.0,21.08,25.76,SLOW,6.5,7.167
139,car,1,demo_calibration,,,,,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA,7.333,7.333
147,car,5,demo_calibration,1.35,7.28,7.42,7.87,93.0,139.45,142.22,150.6,SLOW,7.833,8.5
186,car,8,demo_calibration,6.89,21.26,21.14,27.55,169.62,145.43,146.22,173.65,MOVING,9.167,10.333
187,car,7,demo_calibration,2.1,6.6,6.71,7.14,65.91,56.67,55.46,69.54,SLOW,9.167,10.333
217,car,1,demo_calibration,,,,,0.0,0.0,0.0,0.0,INSUFFICIENT_DATA,10.333,10.333
