timestamp_seconds,frame_number,track_id,vehicle_type,center_x,center_y,bbox_width,bbox_height
0.167,5,1,bus,686.5,788.0,67,216
0.167,5,2,bus,206.0,844.0,160,174
0.167,5,3,car,516.0,878.0,86,95
0.167,5,4,bus,152.5,1278.0,189,266
0.167,5,5,car,257.0,944.0,96,114
0.167,5,6,bus,40.0,1146.0,80,258
0.167,5,7,car,300.0,1205.0,142,227
0.167,5,8,car,429.5,1210.0,123,210
0.167,5,9,car,491.0,773.0,48,58
0.167,5,10,car,431.5,975.0,91,131
0.167,5,11,car,555.0,1053.0,124,159
0.167,5,12,car,326.0,828.0,64,71
0.167,5,13,car,412.0,859.0,70,91
0.167,5,14,car,153.0,1278.0,190,263
0.167,5,15,car,344.5,935.0,33,48
0.167,5,16,truck,129.5,977.0,117,136
0.333,10,1,bus,686.0,789.0,68,218
0.333,10,2,bus,205.0,844.0,160,174
0.333,10,3,car,515.5,879.0,85,95
0.333,10,4,bus,152.0,1278.0,190,266
0.333,10,5,car,256.5,945.0,97,114
0.333,10,6,bus,39.5,1145.0,79,256
0.333,10,7,car,299.0,1207.0,142,228
0.333,10,8,car,429.0,1211.0,124,211
0.333,10,9,car,489.5,774.0,47,57
0.333,10,10,car,431.5,975.0,91,129
0.333,10,11,car,554.5,1054.0,125,160
0.333,10,12,car,326.0,828.0,62,70
0.333,10,13,car,412.0,858.0,68,89
0.333,10,14,car,152.5,1277.0,189,262
0.333,10,15,car,344.0,937.0,32,46
0.333,10,16,truck,128.5,976.0,117,135
0.5,15,1,bus,686.0,791.0,68,220
0.5,15,2,bus,204.5,844.0,159,173
0.5,15,3,car,515.5,879.0,85,95
0.5,15,4,bus,151.5,1278.0,189,265
0.5,15,5,car,256.0,946.0,96,114
0.5,15,6,bus,39.0,1143.0,78,253
0.5,15,7,car,298.0,1208.0,142,228
0.5,15,8,car,428.0,1212.0,124,212
0.5,15,9,car,489.5,776.0,47,57
0.5,15,10,car,431.0,975.0,90,129
0.5,15,11,car,554.5,1053.0,125,159
0.5,15,12,car,325.0,829.0,62,69
0.5,15,13,car,411.5,858.0,67,88
0.5,15,14,car,151.5,1277.0,189,261
0.5,15,15,car,343.0,938.0,32,47
0.5,15,16,truck,128.0,976.0,116,135
0.5,15,17,bus,686.5,789.0,67,115
0.667,20,1,bus,686.0,793.0,68,222
0.667,20,2,bus,205.0,845.0,160,175
0.667,20,3,car,516.0,880.0,84,95
0.667,20,4,bus,152.5,1278.0,189,265
0.667,20,5,car,256.0,947.0,96,114
0.667,20,6,bus,39.0,1143.0,78,252
0.667,20,7,car,298.0,1208.0,142,227
0.667,20,8,car,428.0,1213.0,124,211
0.667,20,9,car,490.0,777.0,48,58
0.667,20,10,car,431.5,977.0,91,131
0.667,20,11,car,554.5,1055.0,125,159
0.667,20,12,car,325.0,830.0,62,70
0.667,20,13,car,411.0,857.0,66,86
0.667,20,14,car,152.5,1277.0,189,261
0.667,20,15,car,343.5,939.0,31,45
0.667,20,16,truck,127.5,977.0,117,135
0.667,20,17,bus,686.5,790.0,67,116
0.833,25,1,bus,685.5,794.0,69,225
0.833,25,2,bus,205.0,845.0,160,175
0.833,25,3,car,516.5,880.0,85,94
0.833,25,4,bus,152.5,1278.0,189,265
0.833,25,5,car,255.5,947.0,95,113
0.833,25,6,bus,39.0,1144.0,78,253
0.833,25,7,car,297.5,1210.0,143,229
0.833,25,8,car,428.0,1214.0,124,212
0.833,25,9,car,490.0,778.0,48,58
0.833,25,10,car,431.5,978.0,91,131
0.833,25,11,car,554.5,1055.0,125,159
0.833,25,12,car,325.0,831.0,62,70
0.833,25,13,car,411.5,856.0,65,84
0.833,25,14,car,152.5,1278.0,189,262
0.833,25,15,car,343.5,940.0,31,46
0.833,25,16,truck,127.0,979.0,118,137
0.833,25,17,bus,686.5,791.0,67,116
0.833,25,23,car,400.5,771.0,49,53
1.0,30,1,bus,685.5,794.0,69,226
1.0,30,2,bus,204.5,846.0,161,176
1.0,30,3,car,516.0,881.0,84,93
1.0,30,4,bus,152.5,1278.0,189,264
1.0,30,5,car,255.5,947.0,95,113
1.0,30,6,bus,39.0,1145.0,78,253
1.0,30,7,car,297.5,1211.0,143,229
1.0,30,8,car,428.0,1215.0,124,212
1.0,30,9,car,490.5,779.0,49,59
1.0,30,10,car,431.5,978.0,91,131
1.0,30,11,car,554.0,1055.0,124,158
1.0,30,12,car,325.5,831.0,63,69
1.0,30,13,car,411.5,856.0,65,83
1.0,30,14,car,152.5,1278.0,189,262
1.0,30,15,car,343.5,940.0,33,46
1.0,30,16,truck,127.5,978.0,117,136
1.0,30,17,bus,686.5,791.0,67,116
1.0,30,23,car,400.5,771.0,49,53
1.167,35,1,bus,685.5,794.0,69,227
1.167,35,2,bus,204.5,846.0,161,175
1.167,35,3,car,516.0,881.0,84,93
1.167,35,4,bus,153.0,1278.0,188,263
1.167,35,5,car,255.5,948.0,95,113
1.167,35,6,bus,39.0,1146.0,78,254
1.167,35,7,car,297.5,1212.0,143,230
1.167,35,8,car,428.0,1217.0,124,213
1.167,35,9,car,490.0,779.0,48,58
1.167,35,10,car,431.5,979.0,91,131
1.167,35,11,car,554.5,1055.0,125,158
1.167,35,12,car,325.5,833.0,65,71
1.167,35,13,car,411.0,857.0,66,84
1.167,35,14,car,153.0,1277.0,188,259
1.167,35,15,car,343.5,941.0,33,47
1.167,35,16,car,127.0,978.0,116,136
1.167,35,17,bus,686.5,791.0,67,115
