timestamp_seconds,vehicle_count,cars,motorcycles,buses,trucks,vehicle_density,congestion,car_percentage,motorcycle_percentage,bus_percentage,truck_percentage,traffic_state
0.17,16,11,0,4,1,76.19047619047619,76.19047619047619,68.75,0.0,25.0,6.25,SEVERE
0.33,16,11,0,4,1,76.19047619047619,76.19047619047619,68.75,0.0,25.0,6.25,SEVERE
0.5,17,11,0,5,1,80.95238095238095,80.95238095238095,64.70588235294117,0.0,29.411764705882355,5.88235294117647,SEVERE
0.67,17,11,0,5,1,80.95238095238095,80.95238095238095,64.70588235294117,0.0,29.411764705882355,5.88235294117647,SEVERE
0.83,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.0,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.17,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
1.33,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.5,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.67,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
1.83,17,12,0,5,0,80.95238095238095,80.95238095238095,70.58823529411765,0.0,29.411764705882355,0.0,SEVERE
2.0,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
2.17,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
2.33,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
2.5,17,12,0,4,1,80.95238095238095,80.95238095238095,70.58823529411765,0.0,23.52941176470588,5.88235294117647,SEVERE
2.67,17,12,0,5,0,80.95238095238095,80.95238095238095,70.58823529411765,0.0,29.411764705882355,0.0,SEVERE
2.83,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
3.0,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
3.17,19,14,0,5,0,90.47619047619048,90.47619047619048,73.68421052631578,0.0,26.31578947368421,0.0,SEVERE
3.33,20,14,0,6,0,95.23809523809523,95.23809523809523,70.0,0.0,30.0,0.0,SEVERE
3.5,20,15,0,5,0,95.23809523809523,95.23809523809523,75.0,0.0,25.0,0.0,SEVERE
3.67,20,14,0,6,0,95.23809523809523,95.23809523809523,70.0,0.0,30.0,0.0,SEVERE
3.83,21,14,0,7,0,100.0,100.0,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
4.0,19,12,0,7,0,90.47619047619048,90.47619047619048,63.1578947368421,0.0,36.84210526315789,0.0,SEVERE
4.17,19,12,0,7,0,90.47619047619048,90.47619047619048,63.1578947368421,0.0,36.84210526315789,0.0,SEVERE
4.33,19,12,0,7,0,90.47619047619048,90.47619047619048,63.1578947368421,0.0,36.84210526315789,0.0,SEVERE
4.5,5,4,0,1,0,23.809523809523807,23.809523809523807,80.0,0.0,20.0,0.0,LOW
4.67,17,14,0,2,1,80.95238095238095,80.95238095238095,82.35294117647058,0.0,11.76470588235294,5.88235294117647,SEVERE
4.83,17,14,0,2,1,80.95238095238095,80.95238095238095,82.35294117647058,0.0,11.76470588235294,5.88235294117647,SEVERE
5.0,18,15,0,2,1,85.71428571428571,85.71428571428571,83.33333333333334,0.0,11.11111111111111,5.555555555555555,SEVERE
5.17,17,15,0,2,0,80.95238095238095,80.95238095238095,88.23529411764706,0.0,11.76470588235294,0.0,SEVERE
5.33,16,14,0,2,0,76.19047619047619,76.19047619047619,87.5,0.0,12.5,0.0,SEVERE
5.5,16,14,0,2,0,76.19047619047619,76.19047619047619,87.5,0.0,12.5,0.0,SEVERE
5.67,17,15,0,2,0,80.95238095238095,80.95238095238095,88.23529411764706,0.0,11.76470588235294,0.0,SEVERE
5.83,16,13,0,2,1,76.19047619047619,76.19047619047619,81.25,0.0,12.5,6.25,SEVERE
6.0,15,12,0,2,1,71.42857142857143,71.42857142857143,80.0,0.0,13.333333333333334,6.666666666666667,HIGH
6.17,17,12,1,2,2,80.95238095238095,80.95238095238095,70.58823529411765,5.88235294117647,11.76470588235294,11.76470588235294,SEVERE
6.33,19,14,1,2,2,90.47619047619048,90.47619047619048,73.68421052631578,5.263157894736842,10.526315789473683,10.526315789473683,SEVERE
6.5,19,14,2,2,1,90.47619047619048,90.47619047619048,73.68421052631578,10.526315789473683,10.526315789473683,5.263157894736842,SEVERE
6.67,20,14,3,2,1,95.23809523809523,95.23809523809523,70.0,15.0,10.0,5.0,SEVERE
