timestamp_seconds,tracked_vehicle_count,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,total_pixel_movement,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,UNKNOWN,stopped_vehicle_percentage,slow_vehicle_percentage,moving_vehicle_percentage,movement_congestion_score,calibration_status
0.167,16,,,0.0,0.0,0.0,0,0,0,16,0.0,0.0,0.0,10.0,demo_calibration
0.333,16,1.18,1.25,6.72,6.74,17.84,0,2,14,0,87.5,12.5,0.0,73.75,demo_calibration
0.5,17,1.14,0.93,6.49,6.34,17.34,0,2,14,1,82.35294117647058,11.76470588235294,0.0,70.0,demo_calibration
0.667,17,1.43,1.54,6.61,6.69,18.77,0,3,14,0,82.35294117647058,17.647058823529413,0.0,71.18,demo_calibration
0.833,18,1.11,1.26,5.44,6.02,15.36,0,1,16,1,88.88888888888889,5.555555555555555,0.0,73.33,demo_calibration
1.0,18,0.52,0.1,2.82,1.5,8.47,0,0,18,0,100.0,0.0,0.0,80.0,demo_calibration
1.167,18,0.89,0.82,4.74,5.99,14.24,0,1,17,0,94.44444444444444,5.555555555555555,0.0,77.22,demo_calibration
1.333,18,1.5,1.21,6.52,6.02,19.48,0,4,14,0,77.77777777777779,22.22222222222222,0.0,68.89,demo_calibration
1.5,18,2.01,1.59,9.35,8.47,28.1,0,5,13,0,72.22222222222221,27.77777777777778,0.0,66.11,demo_calibration
1.667,18,1.93,1.55,8.75,6.69,26.29,0,7,11,0,61.111111111111114,38.88888888888889,0.0,60.56,demo_calibration
1.833,17,1.08,1.09,4.97,6.02,14.03,0,1,16,0,94.11764705882352,5.88235294117647,0.0,77.06,demo_calibration
2.0,18,0.87,0.77,4.89,5.99,15.21,0,1,17,0,94.44444444444444,5.555555555555555,0.0,77.22,demo_calibration
2.167,18,0.49,0.17,2.82,2.99,8.47,0,0,18,0,100.0,0.0,0.0,80.0,demo_calibration
2.333,18,0.48,0.15,3.12,3.01,8.8,0,1,16,1,88.88888888888889,5.555555555555555,0.0,73.33,demo_calibration
2.5,17,0.68,0.26,4.15,2.99,11.77,0,1,16,0,94.11764705882352,5.88235294117647,0.0,77.06,demo_calibration
2.667,17,1.14,0.85,6.31,5.99,17.92,0,2,15,0,88.23529411764706,11.76470588235294,0.0,74.12,demo_calibration
2.833,18,1.06,0.57,5.89,6.02,19.16,0,2,16,0,88.88888888888889,11.11111111111111,0.0,74.44,demo_calibration
3.0,18,1.71,1.65,8.43,6.69,25.33,0,4,14,0,77.77777777777779,22.22222222222222,0.0,68.89,demo_calibration
3.167,19,0.91,0.9,5.1,5.99,15.33,0,1,17,1,89.47368421052632,5.263157894736842,0.0,73.68,demo_calibration
3.333,20,0.75,0.17,3.6,3.01,11.35,0,2,17,1,85.0,10.0,0.0,71.5,demo_calibration
3.5,20,0.96,0.07,3.93,1.5,13.12,0,2,18,0,90.0,10.0,0.0,75.0,demo_calibration
3.667,20,0.71,0.15,3.08,2.99,10.3,0,2,18,0,90.0,10.0,0.0,75.0,demo_calibration
3.833,21,1.26,0.83,6.5,6.02,24.42,0,3,18,0,85.71428571428571,14.285714285714285,0.0,72.86,demo_calibration
4.0,19,0.67,0.3,3.93,5.99,12.47,0,0,19,0,100.0,0.0,0.0,80.0,demo_calibration
4.167,19,0.16,0.0,1.02,0.0,3.24,0,0,19,0,100.0,0.0,0.0,80.0,demo_calibration
4.333,19,0.07,0.0,0.48,0.0,1.5,0,0,19,0,100.0,0.0,0.0,80.0,demo_calibration
4.5,5,21.96,11.49,174.59,105.47,145.79,1,4,0,0,0.0,80.0,20.0,24.0,demo_calibration
4.667,17,9.3,4.68,65.03,40.72,54.3,1,4,0,12,0.0,23.52941176470588,5.88235294117647,14.12,demo_calibration
4.833,17,3.95,2.29,19.14,15.06,54.01,0,12,5,0,29.411764705882355,70.58823529411765,0.0,44.71,demo_calibration
5.0,18,3.27,2.44,16.21,12.34,46.01,0,11,6,1,33.33333333333333,61.111111111111114,0.0,45.56,demo_calibration
5.167,17,3.07,2.27,17.87,18.21,50.73,0,11,6,0,35.294117647058826,64.70588235294117,0.0,47.65,demo_calibration
5.333,16,5.06,4.35,25.56,26.3,67.87,1,11,4,0,25.0,68.75,6.25,40.62,demo_calibration
5.5,16,4.87,4.75,24.85,24.14,66.39,0,13,3,0,18.75,81.25,0.0,39.38,demo_calibration
5.667,17,5.75,6.19,27.65,23.95,86.86,1,11,5,0,29.411764705882355,64.70588235294117,5.88235294117647,42.94,demo_calibration
5.833,16,6.12,6.01,28.77,30.42,96.69,1,11,4,0,25.0,68.75,6.25,40.62,demo_calibration
6.0,15,4.99,3.54,24.2,25.41,69.48,0,11,4,0,26.666666666666668,73.33333333333333,0.0,43.33,demo_calibration
6.167,17,5.13,5.52,23.15,24.05,70.87,0,13,3,1,17.647058823529413,76.47058823529412,0.0,37.65,demo_calibration
6.333,19,4.62,4.55,22.52,23.52,63.55,0,12,5,2,26.31578947368421,63.1578947368421,0.0,41.05,demo_calibration
6.5,19,3.97,3.62,19.55,19.63,58.76,0,12,6,1,31.57894736842105,63.1578947368421,0.0,44.74,demo_calibration
