timestamp_seconds,vehicle_count,cars,motorcycles,buses,trucks,vehicle_density,congestion,car_percentage,motorcycle_percentage,bus_percentage,truck_percentage,traffic_state
0.167,16,11,0,4,1,76.19047619047619,76.19047619047619,68.75,0.0,25.0,6.25,SEVERE
0.333,16,11,0,4,1,76.19047619047619,76.19047619047619,68.75,0.0,25.0,6.25,SEVERE
0.5,17,11,0,5,1,80.95238095238095,80.95238095238095,64.70588235294117,0.0,29.411764705882355,5.88235294117647,SEVERE
0.667,17,11,0,5,1,80.95238095238095,80.95238095238095,64.70588235294117,0.0,29.411764705882355,5.88235294117647,SEVERE
0.833,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.0,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.167,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
1.333,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.5,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
1.667,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
1.833,17,12,0,5,0,80.95238095238095,80.95238095238095,70.58823529411765,0.0,29.411764705882355,0.0,SEVERE
2.0,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
2.167,18,12,0,5,1,85.71428571428571,85.71428571428571,66.66666666666666,0.0,27.77777777777778,5.555555555555555,SEVERE
2.333,18,12,0,6,0,85.71428571428571,85.71428571428571,66.66666666666666,0.0,33.33333333333333,0.0,SEVERE
2.5,17,12,0,4,1,80.95238095238095,80.95238095238095,70.58823529411765,0.0,23.52941176470588,5.88235294117647,SEVERE
2.667,17,12,0,5,0,80.95238095238095,80.95238095238095,70.58823529411765,0.0,29.411764705882355,0.0,SEVERE
2.833,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
3.0,18,13,0,5,0,85.71428571428571,85.71428571428571,72.22222222222221,0.0,27.77777777777778,0.0,SEVERE
