timestamp_seconds,tracked_vehicle_count,average_pixel_speed,median_pixel_speed,total_pixel_movement,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,stopped_vehicle_percentage,slow_vehicle_percentage,moving_vehicle_percentage,movement_congestion_score
0.167,16,0.0,0.0,0.0,0,0,16,100.0,0.0,0.0,80.0
0.333,16,6.190097724491745,5.1418878951402025,16.440899556250073,3,12,1,6.25,75.0,18.75,27.5
0.5,17,5.289733103152821,4.234172342434417,15.01755227985086,2,13,2,11.76470588235294,76.47058823529412,11.76470588235294,32.352941176470594
0.667,17,5.855146727807347,5.988023952095807,16.622761560245063,2,15,0,0.0,88.23529411764706,11.76470588235294,26.47058823529412
0.833,18,3.633664096740106,3.635863798754663,10.857388321059432,0,14,4,22.22222222222222,77.77777777777779,0.0,41.111111111111114
1.0,18,3.1991592601520047,3.6140921592411597,9.616672736016927,0,12,6,33.33333333333333,66.66666666666666,0.0,46.66666666666666
1.167,18,4.10127316192488,3.6140921592411597,12.32842712474619,0,17,1,5.555555555555555,94.44444444444444,0.0,32.77777777777778
1.333,18,5.375237197937162,6.024096385542172,16.061208747436233,1,15,2,11.11111111111111,83.33333333333334,5.555555555555555,33.888888888888886
1.5,18,7.600558248058767,8.72519030650627,22.847278093664656,6,11,1,5.555555555555555,61.111111111111114,33.33333333333333,22.77777777777778
1.667,18,7.9315165915468056,6.341419127993696,23.8421388741897,5,13,0,0.0,72.22222222222221,27.77777777777778,21.666666666666664
1.833,17,4.762057814012626,4.2596794047382405,13.438527151143623,0,16,1,5.88235294117647,94.11764705882352,0.0,32.94117647058823
2.0,18,4.881820866358974,3.6140921592411597,14.924002773524327,1,14,3,16.666666666666664,77.77777777777779,5.555555555555555,36.666666666666664
2.167,18,2.934295795872833,2.9940119760479074,8.820493162393728,0,13,5,27.77777777777778,72.22222222222221,0.0,43.888888888888886
2.333,18,3.2281238060007187,3.012048192771078,9.64563393233017,0,12,6,33.33333333333333,66.66666666666666,0.0,46.66666666666666
2.5,17,4.140835792651246,2.9940119760479074,11.755832815336873,2,12,3,17.647058823529413,70.58823529411765,11.76470588235294,35.294117647058826
2.667,17,4.941035556033917,5.988023952095815,14.027599943580276,0,14,3,17.647058823529413,82.35294117647058,0.0,38.8235294117647
2.833,18,5.4596201058528315,6.024096385542156,18.227391240249553,0,16,2,11.11111111111111,88.88888888888889,0.0,35.55555555555556
3.0,18,6.985130022961872,5.988023952095815,20.997300849023365,3,14,1,5.555555555555555,77.77777777777779,16.666666666666664,27.77777777777778
3.167,19,4.033178923711326,4.234172342434421,12.797276724936022,0,15,4,21.052631578947366,78.94736842105263,0.0,40.526315789473685
3.333,20,3.146524431775922,3.012048192771078,10.446461113496085,0,13,7,35.0,65.0,0.0,47.5
3.5,20,3.4784532900448824,2.9940119760479074,11.618033988749895,1,12,7,35.0,60.0,5.0,46.0
3.667,20,3.0279599943734103,2.9940119760479074,10.11338638120718,1,12,7,35.0,60.0,5.0,46.0
3.833,21,6.024052290417479,6.024096385542156,24.55717961772871,2,19,0,0.0,90.47619047619048,9.523809523809524,27.142857142857146
4.0,19,4.466900867213902,2.9940119760479074,14.173476451669696,1,13,5,26.31578947368421,68.42105263157895,5.263157894736842,41.57894736842105
4.167,19,1.428379310155372,0.0,4.53224755112299,0,7,12,63.1578947368421,36.84210526315789,0.0,61.578947368421055
4.333,19,0.6341154090044374,0.0,2.0,0,4,15,78.94736842105263,21.052631578947366,0.0,69.4736842105263
4.5,5,193.81361515436143,135.49351495790148,161.8343686538916,5,0,0,0.0,0.0,100.0,0.0
4.667,17,21.515901118676393,0.0,61.08364327592221,5,0,12,70.58823529411765,0.0,29.411764705882355,56.47058823529412
4.833,17,19.26160979648504,17.56310811700388,54.3562628456809,11,6,0,0.0,35.294117647058826,64.70588235294117,10.588235294117649
5.0,18,12.924331053843717,11.569845660301883,38.85053914785417,10,7,1,5.555555555555555,38.88888888888889,55.55555555555556,16.111111111111114
5.167,17,16.54647954110631,18.211863863168343,46.97545541720076,13,4,0,0.0,23.52941176470588,76.47058823529412,7.0588235294117645
5.333,16,23.909462064326355,23.23196202073875,63.50353124285095,15,1,0,0.0,6.25,93.75,1.875
5.5,16,24.233121868893434,24.859672894634876,64.75090163368318,16,0,0,0.0,0.0,100.0,0.0
5.667,17,30.096977427863035,27.111931551309663,94.83683039297757,15,2,0,0.0,11.76470588235294,88.23529411764706,3.5294117647058822
5.833,16,30.806182218611255,31.578868435925497,102.30486611073684,15,1,0,0.0,6.25,93.75,1.875
6.0,15,24.883244996038837,27.603426518841008,70.62845954047573,13,2,0,0.0,13.333333333333334,86.66666666666667,4.0
6.167,17,24.216248719109444,27.603426518841008,80.44720649877353,14,2,1,5.88235294117647,11.76470588235294,82.35294117647058,8.23529411764706
6.333,19,23.345194735708233,24.096385542168623,73.63074419642393,16,1,2,10.526315789473683,5.263157894736842,84.21052631578947,10.0
6.5,19,21.717519911743626,21.796736195450677,68.90969067996245,16,2,1,5.263157894736842,10.526315789473683,84.21052631578947,7.368421052631579
6.667,20,21.500919374551913,20.238326953896205,75.07267191360464,18,2,0,0.0,10.0,90.0,3.0
6.833,20,18.725053402245273,15.64030844447964,62.167177295454444,14,6,0,0.0,30.0,70.0,9.0
7.0,17,14.333288947249413,13.389628607783187,40.692207321241035,12,5,0,0.0,29.411764705882355,70.58823529411765,8.823529411764707
7.167,17,26.129921507365253,24.138496252390894,89.80786971005405,14,3,0,0.0,17.647058823529413,82.35294117647058,5.294117647058824
7.333,18,26.396011492530743,27.769712220761647,102.61501340925189,15,1,2,11.11111111111111,5.555555555555555,83.33333333333334,10.555555555555554
7.5,17,30.43129938807041,28.40369155839865,86.3944589627318,17,0,0,0.0,0.0,100.0,0.0
7.667,17,35.15238662538209,29.940119760479075,99.79762562945965,17,0,0,0.0,0.0,100.0,0.0
7.833,17,32.554810315040974,30.71698502164321,109.84019974349519,15,1,1,5.88235294117647,5.88235294117647,88.23529411764706,6.470588235294118
8.0,16,51.38174465915691,47.370234995648616,137.2920217292671,16,0,0,0.0,0.0,100.0,0.0
8.167,15,55.23547468604397,46.4795649588624,138.36486408854,15,0,0,0.0,0.0,100.0,0.0
8.333,15,61.39571435851159,56.83121163889507,160.80476372638967,15,0,0,0.0,0.0,100.0,0.0
8.5,16,63.717393682234885,62.18874336873036,223.47453668448597,16,0,0,0.0,0.0,100.0,0.0
8.667,16,57.015903248455594,54.22794421981874,225.79971339665386,16,0,0,0.0,0.0,100.0,0.0
8.833,14,59.5011385365395,56.156115807428876,138.28064595891811,14,0,0,0.0,0.0,100.0,0.0
9.0,12,60.31842080511617,54.54777718201092,120.87811529345267,12,0,0,0.0,0.0,100.0,0.0
9.167,14,47.15984159065886,37.730433938625396,110.25970963896029,11,1,2,14.285714285714285,7.142857142857142,78.57142857142857,13.57142857142857
9.333,14,58.463008938242034,54.30699553035904,135.8680327724748,14,0,0,0.0,0.0,100.0,0.0
9.5,14,57.07563793268112,54.2702745877679,133.44284148660833,14,0,0,0.0,0.0,100.0,0.0
9.667,13,59.53380279807731,51.51092974277028,129.2478858746257,13,0,0,0.0,0.0,100.0,0.0
9.833,14,58.880753584876366,51.36681652660563,149.20980644267547,14,0,0,0.0,0.0,100.0,0.0
10.0,12,55.58007146476128,46.71188137073999,111.38246321538149,12,0,0,0.0,0.0,100.0,0.0
10.167,12,61.795820775877694,54.68114867312717,133.1023284916832,12,0,0,0.0,0.0,100.0,0.0
10.333,14,57.07579920137073,49.03259215692672,145.80797471926462,13,0,1,7.142857142857142,0.0,92.85714285714286,5.7142857142857135
